week;year;month;month_id
01;2019;Enero;01
02;2019;Enero;01
03;2019;Enero;01
04;2019;Enero;01
05;2019;Enero;01
06;2019;Febrero;02
07;2019;Febrero;02
08;2019;Febrero;02
09;2019;Febrero;02
10;2019;Marzo;03
11;2019;Marzo;03
12;2019;Marzo;03
13;2019;Marzo;03
14;2019;Abril;04
15;2019;Abril;04
16;2019;Abril;04
17;2019;Abril;04
18;2019;Mayo;05
19;2019;Mayo;05
20;2019;Mayo;05
21;2019;Mayo;05
22;2019;Mayo;05
23;2019;Junio;06
24;2019;Junio;06
25;2019;Junio;06
26;2019;Junio;06
27;2019;Julio;07
28;2019;Julio;07
29;2019;Julio;07
30;2019;Julio;07
31;2019;Agosto;08
32;2019;Agosto;08
33;2019;Agosto;08
34;2019;Agosto;08
35;2019;Agosto;08
36;2019;Septiembre;09
37;2019;Septiembre;09
38;2019;Septiembre;09
39;2019;Septiembre;09
40;2019;Octubre;10
41;2019;Octubre;10
42;2019;Octubre;10
43;2019;Octubre;10
44;2019;Octubre;10
45;2019;Noviembre;11
46;2019;Noviembre;11
47;2019;Noviembre;11
48;2019;Noviembre;11
49;2019;Diciembre;12
50;2019;Diciembre;12
51;2019;Diciembre;12
52;2019;Diciembre;12
01;2020;Enero;01
02;2020;Enero;01
03;2020;Enero;01
04;2020;Enero;01
05;2020;Enero;01
06;2020;Febrero;02
07;2020;Febrero;02
08;2020;Febrero;02
09;2020;Febrero;02
10;2020;Marzo;03
11;2020;Marzo;03
12;2020;Marzo;03
13;2020;Marzo;03
14;2020;Abril;04
15;2020;Abril;04
16;2020;Abril;04
17;2020;Abril;04
18;2020;Abril;04
19;2020;Mayo;05
20;2020;Mayo;05
21;2020;Mayo;05
22;2020;Mayo;05
23;2020;Junio;06
24;2020;Junio;06
25;2020;Junio;06
26;2020;Junio;06
27;2020;Julio;07
28;2020;Julio;07
29;2020;Julio;07
30;2020;Julio;07
31;2020;Julio;07
32;2020;Agosto;08
33;2020;Agosto;08
34;2020;Agosto;08
35;2020;Agosto;08
36;2020;Septiembre;09
37;2020;Septiembre;09
38;2020;Septiembre;09
39;2020;Septiembre;09
40;2020;Octubre;10
41;2020;Octubre;10
42;2020;Octubre;10
43;2020;Octubre;10
44;2020;Octubre;10
45;2020;Noviembre;11
46;2020;Noviembre;11
47;2020;Noviembre;11
48;2020;Noviembre;11
49;2020;Diciembre;12
50;2020;Diciembre;12
51;2020;Diciembre;12
52;2020;Diciembre;12
