"unit","tra_meas","tra_cov","schedule","geo_time","2020Q3","2020Q2","2020Q1","2020M09","2020M08","2020M07","2020M06","2020M05","2020M04","2020M03","2020M02","2020M01","2019Q4","2019Q3","2019Q2","2019Q1","2019M12","2019M11","2019M10","2019M09","2019M08","2019M07","2019M06","2019M05","2019M04","2019M03","2019M02","2019M01"
"FLIGHT","CAF_PAS","INTL","N_SCHED","BE",":",3662,2669,":",":",":",1735,1060,867,652,1011,1006,4891,6815,4671,3074,965,1103,2823,2892,1790,2133,1734,1550,1387,1203,953,918
"FLIGHT","CAF_PAS","INTL","N_SCHED","BG",1598,99,351,427,628,543,42,28,29,68,133,150,561,11860,3924,431,94,74,393,3951,3951,3958,2909,829,186,157,116,158
"FLIGHT","CAF_PAS","INTL","N_SCHED","CH",":",75,478,":",":",":",9,20,46,146,184,148,653,1131,785,639,120,107,426,345,384,402,323,226,236,244,201,194
"FLIGHT","CAF_PAS","INTL","N_SCHED","CY",1288,576,768,506,409,373,249,192,135,277,271,220,1758,2795,2172,968,326,490,942,920,943,932,908,791,473,449,270,249
"FLIGHT","CAF_PAS","INTL","N_SCHED","CZ",":",645,1281,":",":",583,389,149,107,314,448,519,2288,5731,3462,1836,541,705,1042,1798,1969,1964,1740,981,741,749,558,529
"FLIGHT","CAF_PAS","INTL","N_SCHED","DE",":",4096,12988,":",4130,3749,2248,1033,815,3332,4857,4799,19840,25932,20984,13612,4743,5585,9512,8890,8442,8600,7896,6753,6335,4854,4227,4531
"FLIGHT","CAF_PAS","INTL","N_SCHED","DK",1345,496,2741,527,475,343,207,137,152,627,1106,1008,3121,6262,4428,3453,861,833,1427,1840,2041,2381,2039,1399,990,1227,1106,1120
"FLIGHT","CAF_PAS","INTL","N_SCHED","EE",":",15,330,":",":",":",3,10,2,85,119,126,525,682,635,349,130,138,257,233,204,245,236,222,177,123,110,116
"FLIGHT","CAF_PAS","INTL","N_SCHED","EL",":",":",4122,":",":",":",":",":",":",1586,1248,1288,8771,51061,28380,1462,585,822,7364,14825,18242,17994,15624,9390,3366,604,407,451
"FLIGHT","CAF_PAS","INTL","N_SCHED","ES",":",1764,12605,":",":",":",935,469,360,3334,4648,4623,17721,30557,23508,14270,4991,5468,7262,8953,10726,10878,9823,7589,6096,5256,4432,4582
"FLIGHT","CAF_PAS","INTL","N_SCHED","EU27_2007",":",":",59190,":",":",":",":",":",":",15924,21864,21402,85381,187922,127461,65199,21539,22391,41451,58280,64777,64865,57298,41244,28919,24213,20209,20777
"FLIGHT","CAF_PAS","INTL","N_SCHED","EU27_2020",":",":",57934,":",":",":",":",":",":",15675,21407,20852,83825,185168,125001,63393,21064,21986,40775,57530,63743,63895,56400,40467,28134,23650,19616,20127
"FLIGHT","CAF_PAS","INTL","N_SCHED","EU28",":",":",":",":",":",":",":",":",":",":",":",21433,85702,189122,128238,65404,21589,22485,41628,58636,65209,65277,57666,41464,29108,24331,20269,20804
"FLIGHT","CAF_PAS","INTL","N_SCHED","FI",":",164,2155,":",146,108,94,37,33,498,855,802,2698,1967,1928,2262,1552,452,694,728,641,598,715,740,473,677,788,797
"FLIGHT","CAF_PAS","INTL","N_SCHED","FR",":",2502,8670,":",":",4077,1572,607,323,2209,3403,3058,9305,19158,15010,9648,2823,2548,3934,5782,6727,6649,5623,5194,4193,3733,3045,2870
"FLIGHT","CAF_PAS","INTL","N_SCHED","HR",":",55,208,":",79,41,8,29,18,75,89,44,565,2287,1516,360,80,141,344,711,828,748,707,488,321,194,111,55
"FLIGHT","CAF_PAS","INTL","N_SCHED","HU",":",39,160,":",":",":",6,19,14,38,52,70,370,1952,609,197,84,85,201,572,671,709,420,98,91,84,43,70
"FLIGHT","CAF_PAS","INTL","N_SCHED","IE",":",147,488,":",":",":",48,62,37,149,168,171,447,1393,870,595,183,101,163,422,472,499,478,294,98,241,188,166
"FLIGHT","CAF_PAS","INTL","N_SCHED","IS",204,62,297,35,81,88,33,15,14,75,130,92,311,421,362,305,73,97,141,132,136,153,133,103,126,109,102,94
"FLIGHT","CAF_PAS","INTL","N_SCHED","IT",":",845,1942,":",":",":",325,255,265,325,810,807,3309,11278,6999,3424,792,750,1767,3207,4336,3735,3279,2251,1469,1301,989,1134
"FLIGHT","CAF_PAS","INTL","N_SCHED","LT",":",188,661,":",":",":",91,59,38,192,247,222,1224,1491,1666,650,244,305,675,571,445,475,583,635,448,203,201,246
"FLIGHT","CAF_PAS","INTL","N_SCHED","LU",":",143,486,":",":",":",119,17,7,51,219,216,962,769,837,648,291,386,285,299,233,237,348,280,209,258,170,220
"FLIGHT","CAF_PAS","INTL","N_SCHED","LV",":",91,363,":",":",":",18,38,35,130,107,126,629,982,819,371,179,181,269,315,341,326,337,299,183,113,111,147
"FLIGHT","CAF_PAS","INTL","N_SCHED","ME",":",":",":",":",":",":",":",":",":",":",":",":",191,2152,981,84,13,17,161,624,772,756,651,243,87,34,26,24
"FLIGHT","CAF_PAS","INTL","N_SCHED","MK",":",135,135,":",":",":",53,58,24,60,24,51,104,550,345,106,37,31,36,126,184,240,194,97,54,37,29,40
"FLIGHT","CAF_PAS","INTL","N_SCHED","MT",":",":",568,":",":",":",":",":",83,196,200,172,749,904,417,453,193,211,345,360,375,169,140,136,141,170,134,149
"FLIGHT","CAF_PAS","INTL","N_SCHED","NL",":",536,1266,":",547,533,301,154,81,389,474,403,1684,3808,4199,3330,391,446,847,1184,1354,1270,1324,1728,1147,1224,977,1129
"FLIGHT","CAF_PAS","INTL","N_SCHED","NO",":",257,1533,":",":",":",103,85,69,375,598,560,2684,5996,4124,2502,766,820,1098,1401,1985,2610,2122,1221,781,939,803,760
"FLIGHT","CAF_PAS","INTL","N_SCHED","PL",":",":",2824,":",":",":",":",":",":",1033,813,978,3438,12511,7143,2426,767,908,1763,3708,4048,4755,4150,2081,912,813,810,803
"FLIGHT","CAF_PAS","INTL","N_SCHED","PT",":",914,2280,":",":",":",498,272,144,652,862,766,2889,5399,4121,2229,780,817,1292,1605,1824,1970,1658,1333,1130,842,640,747
"FLIGHT","CAF_PAS","INTL","N_SCHED","RO",":",":",571,":",":",":",":",":",":",172,150,249,1792,4017,1834,534,555,532,705,1189,1464,1364,1168,433,233,194,168,172
"FLIGHT","CAF_PAS","INTL","N_SCHED","RS",":",706,700,":",":",":",435,188,83,200,248,252,877,2784,1305,671,250,277,350,758,1000,1026,728,351,226,247,204,220
"FLIGHT","CAF_PAS","INTL","N_SCHED","SE",":",":",376,":",":",":",":",":",":",130,126,120,475,522,605,498,156,133,186,183,187,152,255,196,154,194,176,128
"FLIGHT","CAF_PAS","INTL","N_SCHED","SI",":",5,77,":",74,53,2,1,2,30,25,22,159,773,332,94,29,52,78,221,270,282,205,64,63,41,30,23
"FLIGHT","CAF_PAS","INTL","N_SCHED","SK",":",1522,2261,":",1418,1405,721,393,408,619,921,721,3192,6863,4659,2769,888,952,1352,1978,2407,2478,2151,1368,1140,1176,956,637
"FLIGHT","CAF_PAS","INTL","N_SCHED","TR",":",":",":",":",":",":",":",":",":",":",":",":",19295,58591,36901,5734,2224,3692,13379,17121,21169,20301,17023,13132,6746,2526,1499,1709
"FLIGHT","CAF_PAS","INTL","N_SCHED","UK",":",1077,7468,":",":",491,379,320,378,1926,2925,2617,10095,24254,17342,9152,3022,2137,4936,7280,8591,8383,7888,6110,3344,3289,2966,2897
"FLIGHT","CAF_PAS","INTL","SCHED","AT",":",2588,54024,":",10259,7234,1887,403,298,11261,20952,21811,67980,76736,73257,63408,22182,21374,24424,25132,25609,25995,25063,24469,23725,23376,19564,20468
"FLIGHT","CAF_PAS","INTL","SCHED","BE",":",2373,47483,":",":",":",1460,499,414,11074,17905,18504,60991,72745,68595,55039,18979,19391,22621,23711,24237,24797,23159,23290,22146,19488,16818,18733
