"tipo_transp";"viajeros_tasas";"periodo";"total"
"Total de viajeros";"Viajeros transportados";"2020M08";168514
"Total de viajeros";"Viajeros transportados";"2020M07";206624
"Total de viajeros";"Viajeros transportados";"2020M06";156454
"Total de viajeros";"Viajeros transportados";"2020M05";73136
"Total de viajeros";"Viajeros transportados";"2020M04";36141
"Total de viajeros";"Viajeros transportados";"2020M03";212833
"Total de viajeros";"Viajeros transportados";"2020M02";434591
"Total de viajeros";"Viajeros transportados";"2020M01";423328
"Total de viajeros";"Viajeros transportados";"2019M12";410245
"Total de viajeros";"Viajeros transportados";"2019M11";447559
"Total de viajeros";"Viajeros transportados";"2019M10";491416
"Total de viajeros";"Viajeros transportados";"2019M09";423337
"Total de viajeros";"Viajeros transportados";"2019M08";307049
"Total de viajeros";"Viajeros transportados";"2019M07";392825
"Total de viajeros";"Viajeros transportados";"2019M06";428523
"Total de viajeros";"Viajeros transportados";"2019M05";461816
"Total de viajeros";"Viajeros transportados";"2019M04";418438
"Total de viajeros";"Viajeros transportados";"2019M03";453113
"Total de viajeros";"Viajeros transportados";"2019M02";413321
"Total de viajeros";"Viajeros transportados";"2019M01";417573
"Total de viajeros";"Viajeros transportados";"2018M12";397323
"Total de viajeros";"Viajeros transportados";"2018M11";436688
"Total de viajeros";"Viajeros transportados";"2018M10";466768
"Total de viajeros";"Viajeros transportados";"2018M09";406344
"Total de viajeros";"Viajeros transportados";"2018M08";301901
"Total de viajeros";"Viajeros transportados";"2018M07";377952
"Total de viajeros";"Viajeros transportados";"2018M06";428152
"Total de viajeros";"Viajeros transportados";"2018M05";448677
"Total de viajeros";"Viajeros transportados";"2018M04";428273
"Total de viajeros";"Viajeros transportados";"2018M03";418242
"Total de viajeros";"Viajeros transportados";"2018M02";394261
"Total de viajeros";"Viajeros transportados";"2018M01";401545
"Total de viajeros";"Viajeros transportados";"2017M12";377791
"Total de viajeros";"Viajeros transportados";"2017M11";427078
"Total de viajeros";"Viajeros transportados";"2017M10";440717
"Total de viajeros";"Viajeros transportados";"2017M09";398854
"Total de viajeros";"Viajeros transportados";"2017M08";294933
"Total de viajeros";"Viajeros transportados";"2017M07";364517
"Total de viajeros";"Viajeros transportados";"2017M06";417819
"Total de viajeros";"Viajeros transportados";"2017M05";440920
"Total de viajeros";"Viajeros transportados";"2017M04";382553
"Total de viajeros";"Viajeros transportados";"2017M03";445100
"Total de viajeros";"Viajeros transportados";"2017M02";389484
"Total de viajeros";"Viajeros transportados";"2017M01";378194
"Total de viajeros";"Viajeros transportados";"2016M12";378174
"Total de viajeros";"Viajeros transportados";"2016M11";413857
"Total de viajeros";"Viajeros transportados";"2016M10";427059
"Total de viajeros";"Viajeros transportados";"2016M09";401148
"Total de viajeros";"Viajeros transportados";"2016M08";290036
"Total de viajeros";"Viajeros transportados";"2016M07";351230
"Total de viajeros";"Viajeros transportados";"2016M06";402670
"Total de viajeros";"Viajeros transportados";"2016M05";422798
"Total de viajeros";"Viajeros transportados";"2016M04";415426
"Total de viajeros";"Viajeros transportados";"2016M03";393063
"Total de viajeros";"Viajeros transportados";"2016M02";383757
"Total de viajeros";"Viajeros transportados";"2016M01";361910
"Total de viajeros";"Viajeros transportados";"2015M12";375002
"Total de viajeros";"Viajeros transportados";"2015M11";405089
"Total de viajeros";"Viajeros transportados";"2015M10";424072
"Total de viajeros";"Viajeros transportados";"2015M09";380950
"Total de viajeros";"Viajeros transportados";"2015M08";272852
"Total de viajeros";"Viajeros transportados";"2015M07";353208
"Total de viajeros";"Viajeros transportados";"2015M06";389351
"Total de viajeros";"Viajeros transportados";"2015M05";407243
"Total de viajeros";"Viajeros transportados";"2015M04";384260
"Total de viajeros";"Viajeros transportados";"2015M03";402041
"Total de viajeros";"Viajeros transportados";"2015M02";365159
"Total de viajeros";"Viajeros transportados";"2015M01";362698
"Total de viajeros";"Viajeros transportados";"2014M12";366513
"Total de viajeros";"Viajeros transportados";"2014M11";386548
"Total de viajeros";"Viajeros transportados";"2014M10";432776
"Total de viajeros";"Viajeros transportados";"2014M09";374527
"Total de viajeros";"Viajeros transportados";"2014M08";265202
"Total de viajeros";"Viajeros transportados";"2014M07";346198
"Total de viajeros";"Viajeros transportados";"2014M06";378493
"Total de viajeros";"Viajeros transportados";"2014M05";406246
"Total de viajeros";"Viajeros transportados";"2014M04";378265
"Total de viajeros";"Viajeros transportados";"2014M03";402037
"Total de viajeros";"Viajeros transportados";"2014M02";368718
"Total de viajeros";"Viajeros transportados";"2014M01";371433
"Total de viajeros";"Viajeros transportados";"2013M12";360875
"Total de viajeros";"Viajeros transportados";"2013M11";388986
"Total de viajeros";"Viajeros transportados";"2013M10";431048
"Total de viajeros";"Viajeros transportados";"2013M09";363267
"Total de viajeros";"Viajeros transportados";"2013M08";265569
"Total de viajeros";"Viajeros transportados";"2013M07";347942
"Total de viajeros";"Viajeros transportados";"2013M06";385704
"Total de viajeros";"Viajeros transportados";"2013M05";414932
"Total de viajeros";"Viajeros transportados";"2013M04";401276
"Total de viajeros";"Viajeros transportados";"2013M03";379029
"Total de viajeros";"Viajeros transportados";"2013M02";369868
"Total de viajeros";"Viajeros transportados";"2013M01";377654
"Total de viajeros";"Viajeros transportados";"2012M12";353987
"Total de viajeros";"Viajeros transportados";"2012M11";385639
"Total de viajeros";"Viajeros transportados";"2012M10";422843
"Total de viajeros";"Viajeros transportados";"2012M09";363500
"Total de viajeros";"Viajeros transportados";"2012M08";276474
"Total de viajeros";"Viajeros transportados";"2012M07";352022
"Total de viajeros";"Viajeros transportados";"2012M06";400374
"Total de viajeros";"Viajeros transportados";"2012M05";425948
"Total de viajeros";"Viajeros transportados";"2012M04";374663
"Total de viajeros";"Viajeros transportados";"2012M03";426110
"Total de viajeros";"Viajeros transportados";"2012M02";396218
"Total de viajeros";"Viajeros transportados";"2012M01";390293
"Total de viajeros";"Viajeros transportados";"2011M12";386528
"Total de viajeros";"Viajeros transportados";"2011M11";418821
"Total de viajeros";"Viajeros transportados";"2011M10";425777
"Total de viajeros";"Viajeros transportados";"2011M09";391815
"Total de viajeros";"Viajeros transportados";"2011M08";292575
"Total de viajeros";"Viajeros transportados";"2011M07";358103
"Total de viajeros";"Viajeros transportados";"2011M06";412854
"Total de viajeros";"Viajeros transportados";"2011M05";439370
"Total de viajeros";"Viajeros transportados";"2011M04";393527
"Total de viajeros";"Viajeros transportados";"2011M03";444285
"Total de viajeros";"Viajeros transportados";"2011M02";394639
"Total de viajeros";"Viajeros transportados";"2011M01";384145
"Total de viajeros";"Viajeros transportados";"2010M12";388958
"Total de viajeros";"Viajeros transportados";"2010M11";423383
"Total de viajeros";"Viajeros transportados";"2010M10";427903
"Total de viajeros";"Viajeros transportados";"2010M09";390030
"Total de viajeros";"Viajeros transportados";"2010M08";285863
"Total de viajeros";"Viajeros transportados";"2010M07";365945
"Total de viajeros";"Viajeros transportados";"2010M06";412897
"Total de viajeros";"Viajeros transportados";"2010M05";435841
"Total de viajeros";"Viajeros transportados";"2010M04";410607
"Total de viajeros";"Viajeros transportados";"2010M03";438090
"Total de viajeros";"Viajeros transportados";"2010M02";391132
"Total de viajeros";"Viajeros transportados";"2010M01";377222
"Total de viajeros";"Viajeros transportados";"2009M12";390794
